ParentLocation,Location,Value
Europe,Finland,0
Europe,France,0
Europe,France,0
Europe,France,0
Europe,Georgia,0
Europe,Germany,0
Europe,Germany,0
Europe,Germany,0
Europe,Greece,0
Europe,Greece,0
Europe,Greece,0
Americas,Guyana,0
Europe,Hungary,0
Europe,Hungary,0
Europe,Hungary,0
Europe,Iceland,0
Europe,Iceland,0
Europe,Iceland,0
Eastern Mediterranean,Iran (Islamic Republic of),0
Eastern Mediterranean,Iraq,0
Eastern Mediterranean,Iraq,0
Eastern Mediterranean,Iraq,0
Europe,Ireland,0
Europe,Ireland,0
Europe,Ireland,0
Europe,Israel,0
Europe,Israel,0
Europe,Israel,0
Europe,Italy,0
Europe,Italy,0
Europe,Italy,0
Western Pacific,Japan,0
Europe,Kazakhstan,0
Europe,Kazakhstan,0
Europe,Kazakhstan,0
Eastern Mediterranean,Kuwait,0
Europe,Kyrgyzstan,0
Europe,Kyrgyzstan,0
Europe,Kyrgyzstan,0
Western Pacific,Lao People's Democratic Republic,0
Europe,Latvia,0
Europe,Latvia,0
Europe,Latvia,0
Eastern Mediterranean,Lebanon,0
Europe,Lithuania,0
Europe,Lithuania,0
Europe,Lithuania,0
Europe,Luxembourg,0
Europe,Luxembourg,0
Europe,Luxembourg,0
Western Pacific,Malaysia,0
South-East Asia,Maldives,0
South-East Asia,Maldives,0
South-East Asia,Maldives,0
Europe,Malta,0
Europe,Malta,0
Europe,Malta,0
Africa,Mauritius,0
Americas,Mexico,0
Europe,Monaco,0
Europe,Monaco,0
Europe,Montenegro,0
Eastern Mediterranean,Morocco,0
Europe,Netherlands,0
Europe,Netherlands,0
Europe,Netherlands,0
Western Pacific,New Zealand,0
Western Pacific,New Zealand,0
Western Pacific,New Zealand,0
Western Pacific,Niue,0
Europe,Norway,0
Europe,Norway,0
Europe,Norway,0
Eastern Mediterranean,Occupied Palestinian territory,0
Eastern Mediterranean,Oman,0
Eastern Mediterranean,Oman,0
Eastern Mediterranean,Oman,0
Eastern Mediterranean,Pakistan,0
Western Pacific,Palau,0
Western Pacific,Palau,0
Western Pacific,Palau,0
Americas,Paraguay,0
Europe,Poland,0
Europe,Poland,0
Europe,Poland,0
Europe,Portugal,0
Europe,Portugal,0
Europe,Portugal,0
Eastern Mediterranean,Qatar,0
Western Pacific,Republic of Korea,0
Europe,Republic of Moldova,0
Europe,The former Yugoslav Republic of Macedonia,0
Europe,Romania,0
Europe,Romania,0
Europe,Romania,0
Europe,Russian Federation,0
Europe,Russian Federation,0
Europe,Russian Federation,0
Europe,San Marino,0
Eastern Mediterranean,Saudi Arabia,0
Europe,Serbia,0
Africa,Seychelles,0
Western Pacific,Singapore,0
Western Pacific,Singapore,0
Europe,Slovakia,0
Europe,Slovakia,0
Europe,Slovakia,0
Europe,Slovenia,0
Africa,South Africa,0
Europe,Spain,0
Europe,Spain,0
Europe,Spain,0
South-East Asia,Sri Lanka,0
South-East Asia,Sri Lanka,0
South-East Asia,Sri Lanka,0
Europe,Sweden,0
Europe,Sweden,0
Europe,Sweden,0
Europe,Switzerland,0
Europe,Switzerland,0
Europe,Switzerland,0
Europe,Tajikistan,0
Europe,Tajikistan,0
Europe,Tajikistan,0
South-East Asia,Thailand,0
South-East Asia,Thailand,0
South-East Asia,Thailand,0
South-East Asia,Timor-Leste,0
Western Pacific,Tonga,0
Americas,Trinidad and Tobago,0
Eastern Mediterranean,Tunisia,0
Eastern Mediterranean,Tunisia,0
Eastern Mediterranean,Tunisia,0
Europe,Türkiye,0
Europe,Turkmenistan,0
Europe,Turkmenistan,0
Europe,Turkmenistan,0
Europe,Ukraine,0
Europe,Ukraine,0
Europe,Ukraine,0
Eastern Mediterranean,United Arab Emirates,0
Europe,United Kingdom of Great Britain and Northern Ireland,0
Europe,United Kingdom of Great Britain and Northern Ireland,0
Europe,United Kingdom of Great Britain and Northern Ireland,0
Americas,United States of America,0
Americas,United States of America,0
Americas,United States of America,0
Americas,Uruguay,0
Europe,Uzbekistan,0
Europe,Uzbekistan,0
Europe,Uzbekistan,0
Africa,Zimbabwe,0
Europe,Georgia,7
Europe,Armenia,11
Europe,Georgia,11
Western Pacific,Tonga,17
Western Pacific,Samoa,0.02
Africa,Gambia,22
Americas,Bolivia (Plurinational State of),23
Europe,Armenia,29
Europe,Serbia,32
Europe,Montenegro,42
Eastern Mediterranean,Syrian Arab Republic,53
Europe,Serbia,73
Western Pacific,Tonga,73
Eastern Mediterranean,Jordan,78
Americas,Mexico,96
Americas,Costa Rica,97
Africa,Gambia,0.1
Eastern Mediterranean,Jordan,0.11
Americas,Cuba,0.12
Americas,Costa Rica,0.13
Europe,Montenegro,0.13
Europe,Republic of Moldova,0.13
Europe,The former Yugoslav Republic of Macedonia,0.13
Eastern Mediterranean,Occupied Palestinian territory,0.14
Western Pacific,Samoa,0.15
Europe,Türkiye,0.15
Western Pacific,Samoa,0.17
Americas,Suriname,0.18
Americas,Uruguay,0.21
Western Pacific,Vanuatu,0.21
Africa,South Africa,0.22
Americas,Uruguay,0.22
Africa,Gambia,0.23
Europe,Republic of Moldova,0.23
Americas,Cuba,0.24
Americas,Costa Rica,0.25
Americas,Brazil,0.3
Western Pacific,China,0.3
Americas,El Salvador,0.3
Western Pacific,Vanuatu,0.3
Europe,The former Yugoslav Republic of Macedonia,0.31
Western Pacific,China,0.32
Western Pacific,China,0.33
Africa,South Africa,0.33
Americas,Paraguay,0.34
Africa,Mali,0.36
Eastern Mediterranean,Jordan,0.4
Americas,Belize,0.44
Africa,Burundi,0.47
Americas,Mexico,0.5
Americas,Panama,0.5
Western Pacific,Vanuatu,0.56
Americas,Belize,0.57
Africa,Eswatini,0.58
Americas,Jamaica,0.59
Americas,Colombia,0.6
Eastern Mediterranean,Occupied Palestinian territory,0.6
Americas,Guyana,0.61
Americas,Cuba,0.64
Africa,Guinea-Bissau,0.64
Europe,Türkiye,0.64
Western Pacific,Mongolia,0.68
Americas,Belize,0.72
Eastern Mediterranean,Somalia,0.74
Eastern Mediterranean,Libya,0.75
Americas,Jamaica,0.8
Americas,Guyana,0.83
Africa,Cameroon,0.84
South-East Asia,Myanmar,0.84
Africa,Botswana,0.9
Americas,Guatemala,0.9
Americas,Ecuador,0.91
Americas,Paraguay,0.91
Americas,Jamaica,0.96
Africa,Guinea,0.99
South-East Asia,India,0.99
Eastern Mediterranean,Yemen,1.07
Americas,El Salvador,1.12
Americas,Honduras,1.21
Americas,Suriname,1.22
Africa,Malawi,1.23
Africa,Kenya,1.31
Western Pacific,Viet Nam,1.34
Americas,Nicaragua,1.35
Africa,Senegal,1.36
Africa,United Republic of Tanzania,1.38
Africa,Rwanda,1.42
Americas,Dominican Republic,1.48
Africa,Congo,1.54
Africa,Zambia,1.57
Eastern Mediterranean,Sudan,1.66
Africa,Gabon,1.7
Eastern Mediterranean,Morocco,1.73
Africa,Uganda,1.88
Western Pacific,Philippines,1.96
Americas,Peru,1.97
Africa,Rwanda,1.97
Africa,Côte d’Ivoire,10.1
Africa,Guinea-Bissau,10.33
Eastern Mediterranean,Afghanistan,10.78
Africa,United Republic of Tanzania,10.89
South-East Asia,Indonesia,11.15
South-East Asia,Nepal,11.22
Africa,Senegal,11.25
Africa,Zambia,11.25
Americas,Colombia,11.29
Africa,Kenya,11.3
Africa,Niger,11.44
Eastern Mediterranean,Pakistan,11.62
Africa,Guinea,11.81
Africa,Togo,11.88
Africa,Cameroon,11.93
Africa,Democratic Republic of the Congo,12.03
Americas,Panama,12.19
Americas,Peru,13.15
Africa,Cabo Verde,14.45
Eastern Mediterranean,Afghanistan,14.58
Americas,Nicaragua,14.63
South-East Asia,India,14.93
Eastern Mediterranean,Yemen,15.02
Africa,United Republic of Tanzania,16.07
Western Pacific,Papua New Guinea,16.13
Western Pacific,Kiribati,16.17
Eastern Mediterranean,Djibouti,16.18
Africa,Sierra Leone,16.39
Western Pacific,Lao People's Democratic Republic,16.49
Africa,Chad,16.6
Africa,Ethiopia,17
Africa,Ghana,17.78
Africa,Angola,17.97
Africa,Liberia,17.99
Western Pacific,Papua New Guinea,17.99
Africa,Guinea-Bissau,18
Africa,Guinea,18.13
Americas,Haiti,18.13
South-East Asia,Timor-Leste,18.22
Africa,Nigeria,18.66
Africa,Democratic Republic of the Congo,18.85
Africa,Zambia,19.06
Western Pacific,Cambodia,19.28
Africa,Gabon,2.01
Americas,Guatemala,2.02
Africa,Rwanda,2.08
Americas,Saint Lucia,2.12
South-East Asia,Indonesia,2.24
Americas,Dominican Republic,2.25
Americas,Brazil,2.35
Americas,Ecuador,2.53
Africa,Burundi,2.58
Americas,Colombia,2.59
Eastern Mediterranean,Djibouti,2.71
Africa,Ethiopia,2.8
Africa,Burundi,2.92
Western Pacific,Viet Nam,2.93
Africa,Senegal,20.43
Africa,Mozambique,20.74
Africa,Ethiopia,20.93
Africa,Lesotho,21.99
South-East Asia,India,22.41
Africa,Congo,23.01
Eastern Mediterranean,Somalia,23.12
Africa,Zimbabwe,23.5
Africa,Madagascar,23.65
Eastern Mediterranean,Sudan,24.01
Africa,Sierra Leone,24.96
Africa,Central African Republic,25.15
Africa,Côte d’Ivoire,25.26
Africa,Namibia,25.3
Western Pacific,Mongolia,25.39
Western Pacific,Cambodia,25.45
Western Pacific,Lao People's Democratic Republic,25.88
South-East Asia,Timor-Leste,26.52
Africa,Cabo Verde,26.71
Africa,Lesotho,29.12
Africa,Nigeria,29.68
Western Pacific,Kiribati,29.77
Africa,Mozambique,29.98
Americas,Venezuela (Bolivarian Republic of),3.02
Americas,Guatemala,3.23
Americas,Suriname,3.25
Western Pacific,Marshall Islands,3.4
Western Pacific,Philippines,3.79
Africa,Eswatini,3.81
Western Pacific,Viet Nam,3.88
Africa,Democratic Republic of the Congo,3.9
Africa,Mauritania,30.67
Africa,Benin,31.46
Americas,Haiti,31.46
Africa,Botswana,31.5
Africa,Ghana,31.61
Western Pacific,Marshall Islands,32.03
Americas,Bolivia (Plurinational State of),32.73
Africa,Zimbabwe,34.68
Eastern Mediterranean,Sudan,36.18
Africa,Liberia,37.68
Africa,Central African Republic,38.61
Africa,Sao Tome and Principe,38.63
Africa,Burkina Faso,39.92
Western Pacific,Papua New Guinea,4.05
Americas,Honduras,4.18
Americas,Panama,4.19
South-East Asia,Nepal,4.23
Western Pacific,Solomon Islands,4.36
Americas,Peru,4.4
Africa,Malawi,4.46
Africa,Lesotho,4.54
Africa,Uganda,4.68
Eastern Mediterranean,Morocco,4.75
Africa,Gabon,4.84
Africa,Eswatini,4.85
Africa,Mali,4.94
Africa,Côte d’Ivoire,41.49
Eastern Mediterranean,Somalia,42.29
Africa,Madagascar,42.38
Africa,Sao Tome and Principe,42.63
Western Pacific,Solomon Islands,44.79
Africa,Togo,45.15
Western Pacific,Kiribati,46.8
Africa,Namibia,47.16
Africa,Sierra Leone,5
Africa,Mozambique,5.06
Africa,Malawi,5.15
Western Pacific,Philippines,5.43
Africa,Cameroon,5.55
Africa,Uganda,5.61
Americas,Dominican Republic,5.93
Africa,Benin,51.58
Africa,Madagascar,54.12
Africa,Angola,54.16
Africa,Sao Tome and Principe,54.22
Africa,Burkina Faso,54.72
Western Pacific,Solomon Islands,58.03
Africa,Mauritania,58.45
Africa,Liberia,59.09
South-East Asia,Indonesia,6.11
Americas,Saint Lucia,6.2
Africa,Burkina Faso,6.38
Africa,Central African Republic,6.71
Americas,Nicaragua,6.79
Africa,South Sudan,60.13
Africa,Chad,64.07
Eastern Mediterranean,Djibouti,64.13
Africa,Niger,68.11
South-East Asia,Myanmar,7
Americas,Saint Lucia,7.15
Eastern Mediterranean,Pakistan,7.3
Africa,Ghana,7.49
Africa,Togo,70.04
Africa,Benin,70.45
Africa,Namibia,70.87
Africa,South Sudan,73.31
Africa,Chad,78.67
Africa,Niger,79.41
Africa,South Sudan,8.06
Americas,Haiti,8.12
Africa,Mauritania,8.25
Africa,Cabo Verde,8.31
Americas,Honduras,8.34
Western Pacific,Mongolia,8.42
Africa,Congo,8.45
Africa,Nigeria,8.47
Africa,Kenya,8.51
Africa,Mali,8.52
Eastern Mediterranean,Yemen,9.73
Western Pacific,Marshall Islands,9.75
South-East Asia,Myanmar,9.78
South-East Asia,Nepal,9.78
Americas,Bolivia (Plurinational State of),9.79
Africa,Botswana,9.81
